company_industry,mapped_industry
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Maritime Transportation,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
Maritime,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
Staffing and Recruiting,"staffing, recruiting, recruitment, hiring, talent acquisition, HR services, human resources, employment services"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
"Commercial & Residential Construction,  Construction","construction, building, contractor, infrastructure, civil engineering, construction services, real estate development"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
,Other
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Maritime Transportation,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Software Development,  Finance General,  Regulatory Reporting,  Finance,  EMIR,  REMIT,  MiFID II,  StromVV,  FinfraG,  MAR,  Market Surveillance,  Data Analysis,  Interfaces to Exchanges & Brokers,  SFTR,  MiFIR","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
